t 	 x 	 v
0.0	1.5	5.2
0.01	1.5515095	5.1019000000000005
0.02	1.602038	5.003800000000001
0.03	1.6515855000000002	4.905700000000001
0.04	1.700152	4.807600000000002
0.05	1.7477375000000002	4.709500000000002
0.060000000000000005	1.794342	4.611400000000002
0.07	1.8399655000000001	4.513300000000003
0.08	1.884608	4.415200000000003
0.09	1.9282695	4.3171000000000035
0.09999999999999999	1.9709500000000002	4.219000000000004
0.10999999999999999	2.0126495	4.120900000000004
0.11999999999999998	2.0533680000000003	4.022800000000005
0.12999999999999998	2.0931055000000005	3.9247000000000045
0.13999999999999999	2.1318620000000004	3.8266000000000044
0.15	2.1696375000000003	3.7285000000000044
0.16	2.2064320000000004	3.6304000000000043
0.17	2.2422455000000006	3.532300000000004
0.18000000000000002	2.2770780000000004	3.434200000000004
0.19000000000000003	2.3109295000000003	3.336100000000004
0.20000000000000004	2.3438000000000003	3.238000000000004
0.21000000000000005	2.3756895000000005	3.139900000000004
0.22000000000000006	2.4065980000000007	3.041800000000004
0.23000000000000007	2.4365255000000006	2.9437000000000038
0.24000000000000007	2.4654720000000006	2.8456000000000037
0.25000000000000006	2.4934375000000006	2.7475000000000036
0.26000000000000006	2.520422000000001	2.6494000000000035
0.2700000000000001	2.5464255000000007	2.5513000000000035
0.2800000000000001	2.5714480000000006	2.4532000000000034
0.2900000000000001	2.5954895000000007	2.3551000000000033
0.3000000000000001	2.618550000000001	2.2570000000000032
0.3100000000000001	2.640629500000001	2.158900000000003
0.3200000000000001	2.661728000000001	2.060800000000003
0.3300000000000001	2.681845500000001	1.962700000000003
0.34000000000000014	2.700982000000001	1.864600000000003
0.35000000000000014	2.7191375000000013	1.7665000000000028
0.36000000000000015	2.736312000000001	1.6684000000000028
0.37000000000000016	2.752505500000001	1.5703000000000027
0.38000000000000017	2.7677180000000012	1.4722000000000026
0.3900000000000002	2.7819495000000014	1.3741000000000025
0.4000000000000002	2.7952000000000012	1.2760000000000025
0.4100000000000002	2.807469500000001	1.1779000000000024
0.4200000000000002	2.818758000000001	1.0798000000000023
0.4300000000000002	2.8290655000000013	0.9817000000000023
0.4400000000000002	2.8383920000000016	0.8836000000000024
0.45000000000000023	2.8467375000000015	0.7855000000000024
0.46000000000000024	2.8541020000000015	0.6874000000000025
0.47000000000000025	2.8604855000000016	0.5893000000000025
0.48000000000000026	2.8658880000000018	0.49120000000000247
0.49000000000000027	2.8703095000000016	0.39310000000000245
0.5000000000000002	2.8737500000000016	0.2950000000000024
0.5100000000000002	2.8762095000000016	0.1969000000000024
0.5200000000000002	2.877688000000002	0.0988000000000024
0.5300000000000002	2.8781855000000016	7.000000000023932E-4
0.5400000000000003	2.8777020000000015	-0.09739999999999761
0.5500000000000003	2.8762375000000016	-0.19549999999999762
0.5600000000000003	2.8737920000000017	-0.29359999999999764
0.5700000000000003	2.870365500000002	-0.39169999999999766
0.5800000000000003	2.865958000000002	-0.4897999999999977
0.5900000000000003	2.8605695000000018	-0.5878999999999976
0.6000000000000003	2.854200000000002	-0.6859999999999976
0.6100000000000003	2.846849500000002	-0.7840999999999976
0.6200000000000003	2.838518000000002	-0.8821999999999975
0.6300000000000003	2.829205500000002	-0.9802999999999975
0.6400000000000003	2.818912000000002	-1.0783999999999976
0.6500000000000004	2.807637500000002	-1.1764999999999977
0.6600000000000004	2.795382000000002	-1.2745999999999977
0.6700000000000004	2.7821455000000017	-1.3726999999999978
0.6800000000000004	2.7679280000000017	-1.4707999999999979
0.6900000000000004	2.752729500000002	-1.568899999999998
0.7000000000000004	2.736550000000002	-1.666999999999998
0.7100000000000004	2.719389500000002	-1.7650999999999981
0.7200000000000004	2.701248000000002	-1.8631999999999982
0.7300000000000004	2.682125500000002	-1.9612999999999983
0.7400000000000004	2.662022000000002	-2.0593999999999983
0.7500000000000004	2.640937500000002	-2.1574999999999984
0.7600000000000005	2.618872000000002	-2.2555999999999985
0.7700000000000005	2.595825500000002	-2.3536999999999986
0.7800000000000005	2.571798000000002	-2.4517999999999986
0.7900000000000005	2.5467895000000023	-2.5498999999999987
0.8000000000000005	2.520800000000002	-2.647999999999999
0.8100000000000005	2.493829500000002	-2.746099999999999
0.8200000000000005	2.4658780000000022	-2.844199999999999
0.8300000000000005	2.4369455000000024	-2.942299999999999
0.8400000000000005	2.4070320000000023	-3.040399999999999
0.8500000000000005	2.3761375000000022	-3.138499999999999
0.8600000000000005	2.3442620000000023	-3.2365999999999993
0.8700000000000006	2.3114055000000024	-3.3346999999999993
0.8800000000000006	2.2775680000000023	-3.4327999999999994
0.8900000000000006	2.242749500000002	-3.5308999999999995
0.9000000000000006	2.206950000000002	-3.6289999999999996
0.9100000000000006	2.1701695000000023	-3.7270999999999996
0.9200000000000006	2.1324080000000025	-3.8251999999999997
0.9300000000000006	2.0936655000000024	-3.9233
0.9400000000000006	2.0539420000000024	-4.0214
0.9500000000000006	2.0132375000000025	-4.1194999999999995
0.9600000000000006	1.9715520000000024	-4.217599999999999
0.9700000000000006	1.9288855000000025	-4.315699999999999
0.9800000000000006	1.8852380000000024	-4.413799999999998
0.9900000000000007	1.8406095000000025	-4.511899999999998
1.0000000000000007	1.7950000000000024	-4.609999999999998
1.0100000000000007	1.7484095000000024	-4.708099999999997
